,code,result,startDate,endDate,回售公告日
0,100016.SH,FALSE,,,1899-12-30
1,100096.SH,FALSE,,,Fetching...
2,100117.SH,FALSE,,,Fetching...
3,100177.SH,FALSE,,,Fetching...
4,100196.SH,FALSE,,,Fetching...
5,100220.SH,FALSE,,,Fetching...
6,100236.SH,TRUE,2005/10/11 0:00,2005/11/21 0:00,Fetching...
7,100567.SH,TRUE,2004/11/22 0:00,2004/12/31 0:00,Fetching...
8,100726.SH,FALSE,,,Fetching...
9,100795.SH,TRUE,2005/10/14 0:00,2005/12/8 0:00,Fetching...
10,110002.SH,FALSE,,,Fetching...
11,110003.SH,TRUE,2011/11/11 0:00,2011/12/22 0:00,Fetching...
12,110004.SH,TRUE,2013/6/4 0:00,2014/8/28 0:00,Fetching...
13,110005.SH,TRUE,2011/12/20 0:00,2012/2/10 0:00,Fetching...
14,110006.SH,TRUE,2012/9/14 0:00,2013/1/11 0:00,Fetching...
15,110007.SH,FALSE,,,Fetching...
16,110008.SH,TRUE,2013/2/21 0:00,2013/10/10 0:00,Fetching...
17,110009.SH,TRUE,2011/7/22 0:00,2011/9/30 0:00,Fetching...
18,110010.SH,FALSE,,,Fetching...
19,110011.SH,FALSE,,,Fetching...
20,110012.SH,FALSE,,,Fetching...
21,110013.SH,FALSE,,,Fetching...
22,110016.SH,FALSE,,,Fetching...
23,110017.SH,FALSE,,,Fetching...
24,110018.SH,FALSE,,,Fetching...
25,110019.SH,FALSE,,,Fetching...
26,110020.SH,TRUE,2016/10/17 0:00,2018/10/16 0:00,Fetching...
27,110021.SH,FALSE,,,Fetching...
28,110022.SH,FALSE,,,Fetching...
29,110024.SH,FALSE,,,Fetching...
30,110025.SH,TRUE,2018/8/1 0:00,2018/9/20 0:00,Fetching...
31,110026.SH,TRUE,2008/8/5 0:00,2012/6/29 0:00,Fetching...
32,110027.SH,TRUE,2018/7/10 0:00,2019/1/4 0:00,Fetching...
33,110028.SH,TRUE,2018/6/19 0:00,2019/2/25 0:00,Fetching...
34,110029.SH,TRUE,2019/9/25 0:00,2019/12/31 0:00,Fetching...
35,110030.SH,TRUE,2018/7/4 0:00,2019/3/1 0:00,Fetching...
36,110031.SH,TRUE,2019/6/12 0:00,2019/12/26 0:00,Fetching...
37,110035.SH,FALSE,,,Fetching...
38,110036.SH,FALSE,,,Fetching...
39,110037.SH,FALSE,,,Fetching...
40,110078.SH,TRUE,2008/9/9 0:00,2009/1/21 0:00,Fetching...
41,110219.SH,FALSE,,,Fetching...
42,110227.SH,TRUE,2008/8/8 0:00,2008/10/20 0:00,Fetching...
43,110232.SH,TRUE,2008/9/8 0:00,2008/10/27 0:00,Fetching...
44,110325.SH,FALSE,,,Fetching...
45,110368.SH,FALSE,,,Fetching...
46,110398.SH,TRUE,2008/8/15 0:00,2008/9/26 0:00,Fetching...
47,110418.SH,FALSE,,,Fetching...
48,110423.SH,TRUE,2008/10/10 0:00,2008/11/12 0:00,Fetching...
49,110488.SH,FALSE,,,Fetching...
50,110567.SH,TRUE,2012/5/7 0:00,2012/9/5 0:00,Fetching...
51,110598.SH,TRUE,2008/8/26 0:00,2008/9/25 0:00,Fetching...
52,110874.SH,TRUE,2005/7/1 0:00,2005/8/11 0:00,Fetching...
53,110971.SH,TRUE,2008/8/5 0:00,2008/9/17 0:00,Fetching...
54,113003.SH,FALSE,,,Fetching...
55,113006.SH,TRUE,2018/12/5 0:00,2019/2/13 0:00,Fetching...
56,113007.SH,TRUE,2018/9/5 0:00,2020/9/4 0:00,Fetching...
57,113008.SH,FALSE,,,Fetching...
58,113501.SH,TRUE,2016/12/2 0:00,2017/7/7 0:00,Fetching...
59,125002.SZ,TRUE,2005/6/29 0:00,2005/12/13 0:00,Fetching...
60,125069.SZ,FALSE,,,Fetching...
61,125089.SZ,FALSE,,,Fetching...
62,125488.SZ,FALSE,,,Fetching...
63,125528.SZ,TRUE,2013/7/12 0:00,2013/8/30 0:00,Fetching...
64,125572.SZ,FALSE,,,Fetching...
65,125630.SZ,FALSE,,,Fetching...
66,125709.SZ,TRUE,2008/6/16 0:00,2009/7/9 0:00,Fetching...
67,125717.SZ,TRUE,2011/12/5 0:00,2012/2/3 0:00,Fetching...
68,125729.SZ,FALSE,,,Fetching...
69,125731.SZ,FALSE,,,Fetching...
70,125822.SZ,FALSE,,,Fetching...
71,125887.SZ,FALSE,,,Fetching...
72,125898.SZ,FALSE,,,Fetching...
73,125930.SZ,FALSE,,,Fetching...
