证券代码,证券简称,转债简称,正股代码,赎回触发计算最大时间区间,赎回触发计算时间区间,赎回触发比例,,条件赎回起始日期,条件赎回截止日期,今天日期与赎回截止日较小者,赎回条款
100009.SH,上海机场,机场转债(退市),600009.SH,40,30,130,10.53,2000/8/25,2005/2/24,2005/2/24,"1)到期赎回(即到期还本付息)在2005年2月24日(“到期日”)之后的5个交易日内,本公司将按面值加上应计利息偿还所有到期未转换的机场转债(“到期转债”)。2)提前赎回本公司不得提前赎回机场转债,除非在2000年8月25日之后(含当日),本公司的股票在其后的任何连续40个交易日中有至少30个交易日的收盘价不低于该30个交易日内生效转股价格的130％。若在该30个交易日内发生过转股价格调整的情形,则落在调整前的交易日按调整前的转股价格和收盘价计算,落在调整后的交易日按调整后的转股价格和收盘价计算。当该条件满足时,本公司有权按面值加上在“赎回日”(在赎回公告中通知)当日的应计利息赎回全部或部分在赎回日之前未转股的机场转债。当前述赎回条件满足并且若本公司决定执行本项赎回权时,赎回日不得落在2004年5月25日(含当日)至2004年7月25日(含当日)的一段时间内。"
100016.SH,民生银行,民生转债(退市),600016.SH,20,20,130,10.76,2004/2/27,2008/2/27,2008/2/27,"自本次民生转债发行之日起一年后至债券存续期满,如果＂民生银行＂A股股票连续20个交易日的收盘价高于当期转股价格的130%,本行有权赎回未转股的民生转债。若在该20个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价计算,在调整后的交易日按调整后的转股价格和收盘价计算。当赎回条件首次满足时,本行有权按面值102%(含当年利息)的价格赎回全部或部分在＂赎回日＂(在赎回公告中通知)之前未转股的民生转债。若首次不实施赎回,当年将不再行使赎回权。"
100117.SH,西宁特钢,西钢转债(退市),600117.SH,20,20,150,5.98,2004/2/11,2008/8/10,2008/8/10,(1)可转债发行后6个月内(2003年8月11日至2004年2月10日)，发行人不可赎回可转债；可转债发行6个月后，发行人可开始行使赎回权，且每年只能行使一次。若发行人每年首次满足(2)中赎回条件时不实施赎回，当年不能再行使赎回权。(2)在发行6个月后的转股期间(2004年2月11日至2008年8月10日)，如果本公司Ａ股股票收盘价连续20个交易日高于当期转股价，并达到当期转股价150％，则不论赎回前是否已向可转债持有人支付利息，发行人一律有权以面值加上在“赎回日”(在赎回公告中通知)当日的应计利息的价格赎回全部或部分未转换股份的可转债。
100177.SH,雅戈尔,雅戈转债(退市),600177.SH,30,30,130,9.25,2003/10/8,2006/4/3,2006/4/3,"1、赎回期：公司可转债转股期即自本次可转债发行之日起6个月后至36个月期间,为可转债的赎回期,首次满足赎回条件时,公司可赎回部分或全部未转股的可转债。但若首次不实施赎回的,当年不应再行使赎回权。2、赎回条件与赎回价格：在公司可转债转股期内(自本次可转债发行之日起6个月后至36个月期间内),如公司A股股票连续30个交易日的收盘价高于当期转股价格的130%,公司有权赎回未转股的公司可转债。当赎回条件首次满足时,公司有权按面值105%(含当期利息)的价格赎回全部或部分在＂赎回日＂(在赎回公告中通知)之前未转股的公司可转债。若在该30个交易日内发生过转股价格调整的情形,则落在调整前的交易日按调整前的转股价格和收盘价计算,落在调整后的交易日按调整后的转股价格和收盘价计算。"
100196.SH,复星医药,复星转债(退市),600196.SH,30,20,120,5,2004/10/28,2008/10/27,2008/10/27,"自本次复星转债第二个计息年度起至到期日之间(即2004年10月28日至2008年10月27日)的任何一个计息年度,若公司股票收盘价连续30个交易日中至少有20个交易日高于当时执行的转股价格达到20%以上(含20%)的幅度时(下称＇赎回条件＇),则公司有权在该赎回条件首次满足时赎回剩余可转债的全部或部分,赎回价格为可转债面值加该计息年度的利息。但在赎回条件首次满足时不行使赎回权的,则公司在该计息年度将不能行使赎回权。"
100220.SH,江苏阳光,阳光转债(退市),600220.SH,20,20,110,10.31,2003/4/18,2005/4/18,2005/4/18,"（1）自阳光转债发行之日起12个月至24个月期间内,如本公司A股股票连续20个交易日的收盘价高于当期转股价格的140%,本公司有权赎回未转股的阳光转债。当赎回条件首次满足时,本公司有权按面值102%（含当年利息）的价格赎回全部或部分在＂赎回日＂（在赎回公告中通知）之前未转股的阳光转债。若本公司首次不实施赎回,当年将不再行使赎回权。（2）自阳光转债发行之日起24个月至30个月期间内,如本公司A股股票连续20个交易日的收盘价高于当期转股价格的120%,本公司有权赎回未转股的阳光转债。当赎回条件首次满足时,本公司有权按面值102%（含当年利息）的价格赎回全部或部分在＂赎回日＂（在赎回公告中通知）之前未转股的阳光转债。自阳光转债发行之日起30个月至36个月期间内,如本公司A股股票连续20个交易日的收盘价高于当期转股价格的110%,本公司有权赎回未转股的阳光转债。当赎回条件首次满足时,本公司有权按面值102%（含当年利息）的价格赎回全部或部分在＂赎回日＂（在赎回公告中通知）之前未转股的阳光转债。"
100236.SH,桂冠电力,桂冠转债(退市),600236.SH,30,30,130,10.24,2004/6/30,2008/6/29,2008/6/29,"(1)本公司不得提前赎回桂冠转债,除非在转换期内,公司股票在任意连续30个交易日中的收盘价不低于转股价格的130%时。若在该30个交易日内发生过转股价格调整的情形,则落在调整前的交易日按调整前的转股价格和收盘价计算,落在调整后的交易日按调整后的转股价格和收盘价计算。(2)本次可转债未转股余额不足3000万元。当上述任何一个条件满足时,发行人有权按面值的103%赎回全部或部分未转股的桂冠可转换债券。若公司行使赎回权,赎回部分未转股的公司可转债时,应对所有可转债持有人进行等比例赎回。每个可转债持有人按赎回比例计算的被赎回额按仟元取整数倍赎回,不足仟元的部分不予赎回；按赎回比例计算的赎回额不足仟元的不予赎回。公司可每年按约定条件可以行使一次赎回权,第二年行使赎回权的年度时间为2004年6月30日至2005年6月29日,第三至第五年度行使赎回权的年度时间区间为每年的6月30日至次年的6月29日。公司在首次赎回条件满足后不行使赎回权的,公司当年不再行使赎回权。"
100567.SH,山鹰国际,山鹰转债(退市),600567.SH,30,20,120,3.32,2005/6/16,2008/6/15,2008/6/15,"当下列条件之一首次满足时,公司有权按山鹰转债票面金额的105%(含当期利息)赎回全部或部分在“赎回日”(在赎回公告中通知)之前未转股的公司可转债。(1)自本次可转债发行首日起24个月后至36个月期间内,如公司A股股票任意连续30个交易日内有20个交易日的收盘价高于当期转股价格的140%时；(2)自本次可转债发行首日起36个月后至48个月期间内,如公司A股股票任意连续30个交易日内有20个交易日的收盘价高于当期转股价格的130%时；(3)自本次可转债发行首日起48个月后至60个月期间内,如公司A股股票任意连续30个交易日内有20个交易日的收盘价高于当期转股价格的120%时。"
100726.SH,华电能源,华电转债(退市),600726.SH,40,30,150,3.02,2005/6/3,2008/6/2,2008/6/2,"(1)在本期债券发行两年之后,如果本公司的A股股票在其后的任何连续40个交易日中有至少30个交易日的收盘价不低于该30个交易日内生效转股价格的150%,若在该40个交易日内发生过转股价格调整和股价调整(指除权或除息)的情形,则落在调整前的交易日按调整前的转股价格和收盘价计算,落在调整后的交易日(含调整当日)按调整后的转股价格和收盘价计算；(2)本期可转债未转股余额不足3000万元时。当上述任何一个条件满足时,本公司董事会有权决定按面值的105%在“赎回日”(在赎回公告中通知)赎回全部或部分在赎回日之前未转股的龙电转债。时点赎回条款在发行日起满四年之日的前三个交易日.公司有权赎回全部或部分在该三个交易日之前未转股的龙电转债,赎回价格为债券面值的107.36％。"
100795.SH,国电电力,国电转债(退市),600795.SH,30,30,130,11.66,2004/1/29,2008/7/17,2008/7/17,"在转股期内,公司股票在任意连续30个交易日中的收盘价不低于转股价格的130%时,发行人有权在第一个计息年度的后六个月、第二个计息年度按面值的102%、第三个计息年度按面值的103%、第四个计息年度按面值的104%,第五个计息年度按面值的105%(以上均已含息),赎回全部或部分未转股的可转换债券。公司可每年按约定条件行使一次赎回权。公司在首次赎回条件满足后不行使赎回权的,公司当年不再行使赎回权。"
110002.SH,南山铝业,南山转债(退市),600219.SH,20,20,130,5.32,2008/10/18,2013/4/17,2013/4/17,(1)到期赎回条款在本期可转换债券期满后5个交易日内，本公司将以本转债的票面面值的105%(含最后一期利息)向投资者赎回全部未转股的可转债。(2)有条件赎回条款在本期可转债转股期内，如果本公司A股股票连续20个交易日的收盘价格不低于当期转股价格的130%(含130%)，本公司有权按照债券面值103%(含当期计息年度利息)的赎回价格赎回全部或部分未转股的可转债。任一计息年度本公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。
110003.SH,新钢股份,新钢转债(退市),600782.SH,30,20,130,6.22,2009/2/23,2013/8/20,2013/8/20,"(1)到期赎回条款在本可转债期满后5个交易日内,本公司将以本可转债票面面值的107%(含最后一期利息)向投资者赎回全部未转股的可转债。(2)有条件赎回条款在本可转债转股期内,如果本公司股票任意连续30个交易日中至少有20个交易日的收盘价不低于当期转股价格的130%(含130%),本公司有权按照债券面值的103%(含当期计息年度利息)的赎回价格赎回全部或部分未转股的可转债。任一计息年度本公司在赎回条件首次满足后可以进行赎回,首次不实施赎回的,该计息年度不应再行使赎回权。若在上述交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,在调整后的交易日按调整后的转股价格和收盘价格计算。"
110004.SH,厦工股份,厦工转债(退市),600815.SH,30,20,130,8.02,2010/2/28,2014/8/28,2014/8/28,(1)到期赎回可转债到期后5个工作日内，公司将按照债券面值的108%(含当期利息)赎回未转股的全部可转债。(2)提前赎回在转股期内，公司股票在任何连续30个交易日中至少20个交易日的收盘价格不低于当期转股价格的130%；公司有权决定按照债券面值的103%(含当期利息)的价格赎回全部或部分未转股的可转债。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。公司每年(计息年度)在上述约定的赎回条件首次满足后可以行使赎回权一次。公司首次不实施赎回的，当年不应再按上述约定条件行使赎回权。
110005.SH,大西洋,西洋转债(退市),600558.SH,30,20,130,18.62,2010/3/3,2014/9/2,2014/9/2,(1)到期赎回条款在本期可转债期满后5个交易日内，公司将以可转债票面面值的105%(含最后一期利息)向投资者赎回全部未转股的可转债。(2)有条件赎回条款在转股期内，如果公司股票任意连续30个交易日中至少有20个交易日的收盘价不低于当期转股价格的130%(含130%)，公司有权按照债券面值的103%(含当期计息年度利息)的赎回价格赎回全部或部分未转股的可转债。任一计息年度公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。
110006.SH,浙江龙盛,龙盛转债(退市),600352.SH,20,20,130,12.02,2010/3/14,2014/9/14,2014/9/14,(1)到期赎回：公司于本可转债到期后的五个工作日内按本可转债面值的105%(含当期利息)赎回全部未转股的可转债。(2)提前赎回：在公司可转债转股期内，若公司股票在任意连续20个交易日的收盘价高于当期转股价格的130%(含130%)，公司有权按照债券面值的103%(含当期利息)赎回全部或部分未转股的公司可转债。任一计息年度本公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。
110007.SH,博汇纸业,博汇转债(退市),600966.SH,30,20,130,9.8,2010/3/23,2014/9/23,2014/9/23,(1)到期赎回条款在本次发行的可转债期满后5个交易日内，本公司将以本次发行的可转债的票面面值的107%(含最后一期利息)向投资者赎回全部未转股的可转债。(2)有条件赎回条款在本次发行的可转债转股期内，如果本公司股票连续30个交易日中至少有20个交易日的收盘价格不低于当期转股价格的130%(含130%)，本公司有权按照债券面值103%(含当期计息年度利息)的赎回价格赎回全部或部分未转股的可转债。任一计息年度本公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。
110008.SH,王府井,王府转债(退市),600859.SH,30,20,130,35.59,2010/4/26,2015/10/19,2015/10/19,在本可转债转股期内，如果公司股票任意连续30个交易日中至少有20个交易日的收盘价不低于当期转股价格的130%(含130%)，公司有权按照债券面值的103%(含当期计息年度利息)的赎回价格赎回全部或部分未转股的可转债。任一计息年度本公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。
110009.SH,双良节能,双良转债(退市),600481.SH,20,20,130,17.85,2010/11/4,2015/5/4,2015/5/4,1、到期赎回本次发行的可转债到期后5个交易日内，本公司将以票面面值加最后一期利息的价格向投资者赎回全部未转股的可转债。2、有条件赎回在本可转债转股期内，如本公司A股股票连续20个交易日的收盘价格不低于当期转股价格的130%（含130%），本公司有权按照债券面值的105%（含当期计息年度利息）的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。
110010.SH,包钢股份,包钢转债(退市),600010.SH,30,30,130,4.01,2005/5/10,2009/11/9,2009/11/9,"在钢联转债转股期内,如果本公司股票收盘价连续30个交易日高于当期转股价的130%,则本公司有权赎回未转股的本公司可转换债券。当赎回条件首次满足时,本公司有权按面值103%(含当年利息)的价格赎回全部或部分在“赎回日”(在赎回公告中通知)之前未转股的钢联转债。若在该30个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价计算；调整后的交易日按调整后的转股价格和收盘价计算。公司每年可按约定条件行使1次赎回权。公司在首次赎回条件满足后不行使赎回权的,当年不应再行使赎回权。"
110011.SH,歌华有线,歌华转债(退市),600037.SH,30,20,130,11.11,2011/5/25,2016/11/25,2016/11/25,"（1）到期赎回在本次可转债期满后五个交易日内，发行人将以本次可转债票面面值的105%（含当期利息）赎回全部未转股的可转债。（2）提前赎回转股期内，当下述两种情形的任意一种出现时，发行人有权决定按照债券面值的103%（含当期利息）的价格赎回全部或部分未转股的可转债：1）在转股期内，如果发行人股票在任何连续30个交易日中至少20个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当市场存续的本次发行的可转债总金额不足3,000万元时。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。发行人每年（计息年度）在上述约定的赎回条件首次满足后可以行使赎回权一次。发行人首次不实施赎回的，当年不应再按上述约定条件行使赎回权。"
110012.SH,宁波海运,海运转债(退市),600798.SH,30,20,130,4.83,2011/7/7,2016/1/7,2016/1/7,"（1）到期赎回条款公司于本可转债到期后的五个工作日内按本可转债面值的103%（含当期利息）赎回全部未转股的可转债。此外，当本次发行的可转债未转股余额不足3,000万元时，本公司董事会有权决定按面值加当期应计利息的价格赎回全部未转股的可转债。（2）有条件赎回条款在本可转债转股期内，如果公司股票任意连续30个交易日中至少有20个交易日的收盘价不低于当期转股价格的130%（含），公司有权按照债券面值的103%（含当期计息年度利息）的赎回价格赎回全部或部分未转股的可转债。任一计息年度本公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。"
110013.SH,国投电力,国投转债(退市),600886.SH,30,20,130,6.61,2011/7/26,2017/1/25,2017/1/25,"（1）到期赎回本次发行的可转债到期后五个交易日内，公司将以本次可转债票面面值的108%（不含最后一期利息）赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转债转股期内，如果公司股票在任何连续三十个交易日中至少二十个交易日的收盘价格不低于当期转股价格的130%（含130%），发行人有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转债未转股的票面总金额不足3,000万元时，发行人董事会有权决定按面值加当期应计利息的价格赎回全部未转股的可转债。"
