,code,result,startDate,endDate
0,100009.SH,True,2003-12-18,2004-02-24
1,100016.SH,True,2004-02-27,2004-06-07
2,100117.SH,True,2007-04-10,2007-06-01
3,100177.SH,False,,
4,100196.SH,True,2006-05-16,2006-06-26
5,100220.SH,True,2004-03-10,2004-04-28
6,100236.SH,True,2007-02-08,2008-04-01
7,100567.SH,True,2006-05-09,2006-06-19
8,100726.SH,True,2007-03-01,2007-04-25
9,100795.SH,True,2007-01-26,2008-03-14
10,110002.SH,True,2009-07-14,2009-08-18
11,110003.SH,False,,
12,110004.SH,True,2010-07-12,2010-08-20
13,110005.SH,True,2010-03-03,2010-04-14
14,110006.SH,True,2010-03-15,2010-04-29
15,110007.SH,False,,
16,110008.SH,True,2010-08-16,2010-09-29
17,110009.SH,False,,
18,110010.SH,True,2006-01-18,2006-03-27
19,110011.SH,True,2015-02-16,2015-04-03
20,110012.SH,True,2015-03-03,2015-04-14
21,110013.SH,True,2013-04-16,2013-05-30
22,110015.SH,True,2014-12-12,2015-01-26
23,110016.SH,True,2014-06-18,2014-07-29
24,110017.SH,True,2014-11-26,2015-01-08
25,110018.SH,True,2014-11-06,2014-12-17
26,110019.SH,True,2015-02-06,2015-03-26
27,110020.SH,True,2014-12-08,2015-01-20
28,110021.SH,True,2007-06-01,2008-04-17
29,110022.SH,True,2013-07-01,2013-08-09
30,110023.SH,True,2015-03-26,2015-05-08
31,110024.SH,True,2014-09-24,2014-11-11
32,110025.SH,True,2014-11-21,2015-01-05
33,110026.SH,True,2008-01-23,2008-03-07
34,110027.SH,True,2015-01-12,2015-02-27
35,110028.SH,True,2015-02-17,2015-04-07
36,110029.SH,True,2015-04-13,2015-05-25
37,110030.SH,False,,
38,110031.SH,False,,
39,110035.SH,True,2017-04-10,2017-05-22
40,110036.SH,True,2006-06-22,2009-11-10
41,110037.SH,True,2006-10-16,2008-08-25
42,110078.SH,False,,
43,110219.SH,True,2006-04-24,2006-06-14
44,110227.SH,True,2009-03-12,2009-04-23
45,110232.SH,True,2007-05-21,2007-06-29
46,110325.SH,True,2007-01-29,2008-09-08
47,110368.SH,True,2009-04-09,2009-05-21
48,110398.SH,True,2007-08-15,2007-09-25
49,110418.SH,True,2005-09-01,2005-10-19
50,110423.SH,True,2007-01-29,2007-03-16
51,110488.SH,True,2007-04-25,2007-06-12
52,110567.SH,True,2009-11-30,2010-05-14
53,110598.SH,True,2009-02-02,2009-03-12
54,110874.SH,True,2007-02-01,2007-03-21
55,110971.SH,True,2009-03-05,2009-04-16
56,113001.SH,True,2014-11-19,2014-12-30
57,113002.SH,True,2014-11-19,2014-12-30
58,113003.SH,True,2014-09-05,2014-10-24
59,113005.SH,True,2014-11-11,2014-12-22
60,113006.SH,True,2015-02-11,2015-03-31
61,113007.SH,True,2015-04-17,2015-05-29
62,113008.SH,False,,
63,113501.SH,True,2015-06-02,2015-07-14
64,125002.SZ,True,2004-01-15,2004-04-28
65,125069.SZ,True,2005-01-31,2005-05-30
66,125089.SZ,True,2015-03-10,2015-04-21
67,125488.SZ,True,2007-03-06,2008-09-09
68,125528.SZ,True,2009-03-10,2009-04-21
69,125572.SZ,True,2009-03-18,2009-04-29
70,125629.SZ,True,2003-12-05,2004-02-11
71,125630.SZ,True,2004-05-21,2004-06-24
72,125709.SZ,False,,
73,125717.SZ,True,2007-08-06,2008-06-10
74,125729.SZ,True,2006-12-11,2007-10-16
75,125731.SZ,True,2013-01-23,2013-03-12
76,125822.SZ,True,2007-02-05,2008-09-16
77,125887.SZ,True,2014-05-21,2014-07-02
78,125898.SZ,True,2001-03-14,2001-09-11
79,125930.SZ,True,2005-08-30,2005-10-31
80,125932.SZ,True,2007-03-06,2008-08-25
81,125936.SZ,True,2006-06-29,2006-08-04
82,125937.SZ,True,2006-05-10,2006-07-04
83,125959.SZ,True,2006-12-20,2007-02-02
84,125960.SZ,True,2010-09-10,2010-11-02
85,125969.SZ,True,2010-04-08,2010-06-25
86,126002.SZ,True,2005-12-29,2006-02-21
87,126301.SZ,True,2006-07-19,2006-10-30
88,126630.SZ,True,2011-01-17,2011-03-04
89,126729.SZ,True,2015-03-23,2015-05-05
90,127001.SZ,True,2014-07-10,2014-08-20
91,127002.SZ,True,2014-11-21,2015-01-05
92,128001.SZ,True,2014-08-26,2014-10-14
93,128002.SZ,True,2014-02-07,2014-03-20
94,128003.SZ,True,2014-09-05,2014-10-24
95,128004.SZ,True,2014-10-16,2014-11-26
96,128005.SZ,True,2015-03-04,2015-04-15
97,128006.SZ,True,2015-01-07,2015-02-17
98,128007.SZ,True,2015-04-15,2015-05-27
99,128008.SZ,True,2015-03-20,2015-05-04
100,128009.SZ,True,2017-04-07,2017-05-19
101,128031.SZ,True,2009-07-02,2009-08-31
102,128233.SZ,True,2011-03-03,2011-06-08
103,129031.SZ,True,2013-03-29,2013-05-16
104,110032.SH,True,2019-01-11,2019-02-28
105,110039.SH,True,2018-05-23,2018-07-04
106,110040.SH,True,2019-06-05,2019-07-17
107,110042.SH,True,2020-07-14,2020-08-24
108,110046.SH,True,2020-01-02,2020-02-20
109,110049.SH,True,2019-10-11,2019-11-21
110,110050.SH,True,2020-02-05,2020-03-17
111,110054.SH,True,2020-01-14,2020-03-03
112,110065.SH,True,2021-04-21,2021-06-04
113,110069.SH,True,2021-02-02,2021-03-22
114,113010.SH,False,,
115,113012.SH,True,2021-06-30,2021-08-10
116,113014.SH,True,2021-07-23,2021-09-02
117,113015.SH,True,2019-07-09,2019-08-19
118,113018.SH,True,2019-01-29,2019-03-18
119,113019.SH,True,2020-07-03,2020-08-13
120,113020.SH,True,2020-09-23,2020-11-11
121,113022.SH,True,2020-06-18,2020-07-31
122,113028.SH,True,2020-07-08,2020-08-18
123,113029.SH,True,2020-09-09,2020-10-28
124,113031.SH,True,2020-07-16,2020-08-26
125,113032.SH,True,2020-10-23,2020-12-03
126,113035.SH,True,2020-12-03,2021-01-14
127,113038.SH,True,2021-02-08,2021-03-26
128,113040.SH,True,2021-05-18,2021-06-29
129,113041.SH,True,2021-05-10,2021-06-21
130,113503.SH,True,2019-12-13,2020-02-03
131,113506.SH,True,2019-02-22,2019-04-04
132,113507.SH,True,2019-03-06,2019-04-17
133,113508.SH,True,2021-06-15,2021-07-26
134,113509.SH,True,2020-04-21,2020-06-04
135,113510.SH,True,2020-01-20,2020-03-09
136,113511.SH,True,2020-02-26,2020-04-08
137,113512.SH,True,2019-02-20,2019-04-02
138,113513.SH,True,2019-04-24,2019-06-10
139,113514.SH,True,2020-06-22,2020-08-04
140,113515.SH,True,2020-04-02,2020-05-19
141,113517.SH,True,2020-01-16,2020-03-05
142,113518.SH,True,2020-06-08,2020-07-21
143,113520.SH,True,2019-11-08,2019-12-19
144,113521.SH,True,2019-12-23,2020-02-11
145,113522.SH,True,2019-12-16,2020-02-04
146,113523.SH,True,2019-12-04,2020-01-15
147,113529.SH,True,2019-09-16,2019-11-01
148,113531.SH,True,2020-03-12,2020-04-23
149,113533.SH,True,2019-10-10,2019-11-20
150,113538.SH,True,2020-01-06,2020-02-24
151,113539.SH,True,2020-01-09,2020-02-27
152,113540.SH,True,2020-01-20,2020-03-09
153,113543.SH,True,2020-07-14,2020-08-24
154,113544.SH,True,2020-07-27,2020-09-04
155,113547.SH,True,2020-06-18,2020-07-31
156,113551.SH,True,2020-05-22,2020-07-06
157,113552.SH,True,2020-06-08,2020-07-21
158,113553.SH,True,2020-07-20,2020-08-28
159,113554.SH,True,2020-06-22,2020-08-04
160,113555.SH,True,2020-06-29,2020-08-07
161,113556.SH,True,2020-06-29,2020-08-07
162,113557.SH,True,2021-02-10,2021-03-30
163,113558.SH,True,2020-06-29,2020-08-07
164,113559.SH,True,2021-04-20,2021-06-03
165,113562.SH,True,2020-08-27,2020-10-15
166,113564.SH,True,2021-02-22,2021-04-02
167,113571.SH,True,2020-09-18,2020-11-06
168,113572.SH,True,2021-07-19,2021-08-27
169,113581.SH,True,2020-10-29,2020-12-09
170,113583.SH,True,2020-12-18,2021-01-29
171,113586.SH,True,2020-12-15,2021-01-26
172,113587.SH,True,2020-12-21,2021-02-01
173,113590.SH,True,2021-01-04,2021-02-19
174,113592.SH,True,2021-01-14,2021-03-03
175,113611.SH,True,2021-06-07,2021-07-19
176,113612.SH,True,2021-07-06,2021-08-16
177,123001.SZ,True,2019-07-26,2019-09-05
178,123003.SZ,True,2019-11-14,2019-12-25
179,123005.SZ,True,2018-06-25,2018-08-03
180,123006.SZ,True,2019-01-24,2019-03-13
181,123007.SZ,True,2021-06-03,2021-07-15
182,123008.SZ,True,2018-08-07,2018-09-17
183,123009.SZ,True,2020-01-03,2020-02-21
184,123016.SZ,True,2019-12-04,2020-01-15
185,123017.SZ,True,2019-12-03,2020-01-14
186,123019.SZ,True,2020-01-13,2020-03-02
187,123020.SZ,True,2019-12-12,2020-01-23
188,123021.SZ,True,2020-01-13,2020-03-02
189,123026.SZ,True,2020-07-22,2020-09-01
190,123030.SZ,True,2020-08-07,2020-09-17
191,123032.SZ,True,2020-09-11,2020-10-30
192,123033.SZ,True,2021-06-18,2021-07-29
193,123036.SZ,True,2020-09-10,2020-10-29
194,123037.SZ,True,2020-06-29,2020-08-07
195,123040.SZ,True,2020-07-09,2020-08-19
196,123041.SZ,True,2020-07-17,2020-08-27
